UFID,Set,Year,Project,LoadSlope,AvgShortLength,SWGarea,AngusGBC,BrahmanGBC
110168,11,2018,Semin,44.3962653,NA,439.81,0.733471,0.266529
110169,11,2018,Semin,38.4774616,NA,243.74,0.766452,0.233548
110170,11,2018,Semin,26.1160664,NA,258.4,0.706427,0.293573
110171,11,2018,Semin,23.4656994,NA,253.27,0.627258,0.372742
110172,11,2018,Semin,22.2190842,NA,471.34,0.603637,0.396363
110174,11,2018,Semin,27.436012,NA,502.63,0.715213,0.284787
110175,11,2018,Semin,41.106877,NA,298.05,0.757196,0.242804
110176,11,2018,Semin,40.5621376,NA,397.46,0.69946,0.30054
110177,11,2018,Semin,16.3107563,NA,554.81,0.734115,0.265885
110178,11,2018,Semin,35.9318523,NA,326.61,0.722043,0.277957
110179,11,2018,Semin,41.1383043,NA,429.57,0.729653,0.270347
110180,11,2018,Semin,35.2823552,NA,354.69,0.701587,0.298413
110181,11,2018,Semin,25.4665693,NA,421.88,0.609386,0.390614
110183,11,2018,Semin,37.2203706,NA,287.09,0.727054,0.272946
110184,11,2018,Semin,39.8393102,NA,439.64,0.744243,0.255757
110185,11,2018,Semin,42.4163469,NA,229.71,0.802071,0.197929
110186,11,2018,Semin,40.45738,NA,272.14,0.738843,0.261157
110187,11,2018,Semin,34.6433339,NA,300.4,0.795738,0.204262
110188,11,2018,Semin,43.757244,NA,197.58,0.732344,0.267656
110189,11,2018,Semin,26.7236604,NA,457.6,0.679732,0.320268
110190,11,2018,Semin,30.8615851,NA,329.42,0.728455,0.271545
110191,11,2018,Semin,24.1675753,NA,228.76,0.609162,0.390838
110192,11,2018,Semin,45.0771896,NA,210.73,0.778369,0.221631
110193,11,2018,Semin,49.6446204,NA,392.67,0.730006,0.269994
110194,11,2018,Semin,16.3002805,NA,273.44,0.560371,0.439629
110195,11,2018,Semin,26.0636876,NA,234.34,0.718244,0.281756
110196,11,2018,Semin,33.9309823,NA,456.65,0.621988,0.378012
110197,11,2018,Semin,24.1990025,NA,NA,0.365252,0.634748
110201,11,2018,Semin,32.6215125,NA,217.41,0.733404,0.266596
110202,11,2018,Semin,41.7982771,NA,309.46,0.832652,0.167348
110203,11,2018,Semin,25.4665693,NA,642.37,0.345873,0.654127
110204,11,2018,Semin,32.6529398,NA,491.1,0.681129,0.318871
110205,11,2018,Semin,37.1889433,NA,403.61,0.856909,0.143091
110206,11,2018,Semin,33.9309823,NA,365.7,0.780824,0.219176
110207,11,2018,Semin,34.6747612,NA,523.91,0.769185,0.230815
110208,11,2018,Semin,33.9309823,NA,146.38,0.713768,0.286232
110209,11,2018,Semin,44.3962653,NA,308.53,0.717326,0.282674
110211,11,2018,Semin,28.0959848,NA,349.07,0.741537,0.258463
110212,11,2018,Semin,16.321232,NA,398.36,0.620316,0.379684
110213,11,2018,Semin,20.9200901,NA,554.64,0.744981,0.255019
110214,11,2018,Semin,32.6948428,NA,297.21,0.695177,0.304823
